species,common_name
Vaccinium oxycoccos,bog cranberry
Vaccinium pallidum,Early Lowbush Blueberry
Vaccinium stamineum,deerberry
Valeriana officinalis,common valerian
Vallisneria americana,American eelgrass
Veratrum viride,green false hellebore
Verbascum blattaria,moth mullein
Verbascum densiflorum,Dense-flowered Mullein
Verbascum nigrum,Dark Mullein
Verbascum phlomoides,Orange Mullein
Verbascum phoeniceum,Purple Mullein
Verbascum thapsus,great mullein
Verbena bonariensis,purpletop vervain
Verbena bracteata,Bigbract Verbena
Verbena hastata,blue vervain
Verbena officinalis,Common vervain
Verbena pulchella,moss verbena
Verbena simplex,Narrowleaf Vervain
Verbena stricta,hoary vervain
Verbena urticifolia,white vervain
Verbesina alternifolia,Wingstem
Vernonia noveboracensis,New York ironweed
Veronica americana,American brooklime
Veronica anagallis-aquatica,blue water-speedwell
Veronica arvensis,corn speedwell
Veronica chamaedrys,Germander Speedwell
Veronica filiformis,Slender speedwell
Veronica hederifolia,Ivy-leaved Speedwell
Veronica longifolia,Long-leaved Speedwell
Veronica officinalis,heath speedwell
Veronica peregrina,Purslane Speedwell
Veronica persica,bird's-eye speedwell
Veronica polita,Grey Field-speedwell
Veronica scutellata,Marsh Speedwell
Veronica serpyllifolia,thyme-leaved speedwell
Veronica spicata,Spiked Speedwell
Veronica sublobata,Pink Ivy-leaved Speedwell
Veronica teucrium,Broadleaf Speedwell
Veronica umbrosa,Creeping Speedwell
Veronicastrum virginicum,Culver's root
Viburnum acerifolium,mapleleaf viburnum
Viburnum carlesii,Korean Spice Viburnum
Viburnum cassinoides,northern wild raisin
Viburnum dentatum,southern arrowwood
Viburnum dilatatum,linden viburnum
Viburnum lantanoides,hobblebush
Viburnum lentago,nannyberry
Viburnum nudum,southern wild raisin
Viburnum opulus,guelder-rose
Viburnum plicatum,Japanese snowball
Viburnum prunifolium,Blackhaw
Viburnum rafinesqueanum,downy arrowwood
Viburnum recognitum,northern arrowwood
Viburnum setigerum,tea viburnum
Viburnum sieboldii,Siebold's Viburnum
Viburnum wrightii,wright viburnum
Vicia cracca,tufted vetch
Vicia grandiflora,Large yellow vetch
Vicia hirsuta,Hairy tare
Vicia sativa,Common Vetch
Vicia tetrasperma,Lentil Vetch
Vicia villosa,hairy vetch
Vinca major,greater periwinkle
Vinca minor,lesser periwinkle
Vincetoxicum nigrum,black swallow-wort
Vincetoxicum rossicum,European swallow-wort
Viola affinis,Le Conte's Violet
Viola arvensis,European field pansy
Viola blanda,sweet white violet
Viola brittoniana,Britton's Coast Violet
Viola canadensis,Canada Violet
Viola communis,dooryard violet
Viola cucullata,marsh blue violet
Viola eriocarpa,Smooth Yellow Violet
Viola fimbriatula,downy blue violet
Viola hirsutula,Southern wood violet
Viola incognita,Largeleaf White Violet
Viola labradorica,Labrador violet
Viola lanceolata,white bog violet
Viola minuscula,northern white violet
Viola nephrophylla,northern bog violet
Viola odorata,Sweet violet
Viola palmata,three-lobed violet
Viola pedata,bird's foot violet
Viola primulifolia,primrose-leaved violet
Viola pubescens,downy yellow violet
Viola rafinesquei,American field pansy
Viola rostrata,Long-spurred violet
Viola rotundifolia,Round-leaved Violet
Viola selkirkii,Great-spurred Violet
Viola septentrionalis,Northern Woodland Violet
Viola sororia,woolly blue violet
Viola striata,cream violet
Viola subsinuata,wavy-leaved violet
Viola tricolor,Wild Pansy
Viscaria vulgaris,Sticky Catchfly
Vitex agnus-castus,Lilac chaste tree
Vitex negundo,Five-leaved chaste tree
Vitis aestivalis,summer grape
Vitis labrusca,fox grape
Vitis palmata,catbird grape
Vitis riparia,riverbank grape
Vitis vinifera,wine grape
Vitis vulpina,frost grape
Waldsteinia fragarioides,Appalachian barren-strawberry
Waldsteinia ternata,Siberian barren strawberry
Weigela florida,Old Fashioned Weigela
Wisteria floribunda,Japanese wisteria
Wisteria frutescens,American wisteria
Wisteria sinensis,Chinese wisteria
Wolffia brasiliensis,Brazilian watermeal
Woodsia ilvensis,rusty woodsia
Woodsia obtusa,blunt woodsia
Woodwardia areolata,netted chain fern
Woodwardia virginica,Virginia chainfern
Xanthium orientale,common cocklebur
Xanthium strumarium,rough cocklebur
Xanthorhiza simplicissima,Shrub Yellowroot
Xyris difformis,Bog Yellow-eyed Grass
Xyris montana,northern yellow-eyed grass
Xyris torta,twisted yellow-eyed grass
Yucca filamentosa,common yucca
Yucca flaccida,Weak-leaf Yucca
Zannichellia palustris,Horned Pondweed
Zanthoxylum americanum,northern prickly ash
Zea mays,Maize
Zelkova serrata,Japanese zelkova
Zizania aquatica,annual wild rice
Zizia aptera,heart-leaf golden Alexanders
Zizia aurea,golden Alexanders
Zostera marina,Eelgrass
